<div class="front-text">【定理】极限的局部保号性</div><br>若 $\lim_{x\to x_0}f(x) = A > 0$，则在 $x_0$ 的某去心邻域内 $f(x)$ 满足什么条件？	在 $x_0$ 的某去心邻域内满足：<div class="latex-box box-purple">\[ f(x) > 0 \]</div><br><small><b>【避坑与拓展】</b><br>1. <b>去帽不保零：</b>若极限 $>0$，函数值只能保证 $>0$（严格大于）。<br>2. <b>加帽必加零：</b>反之，若已知 $f(x)>0$ 且极限 $A$ 存在，则结论只能是 $A \ge 0$（可能取等）。</small>	396数学::01_极限定义与性质
<div class="front-text">【公式】定积分定义求和式极限</div><br>写出 $\lim_{n\to\infty} \frac{1}{n} \sum_{i=1}^n f(\frac{i}{n})$ 转为定积分的公式。	<div class="latex-box box-green">\[ \lim_{n\to\infty} \frac{1}{n} \sum_{i=1}^n f\left(\frac{i}{n}\right) = \int_0^1 f(x) dx \]</div><br><small><b>【关键识别】</b><br>1. 提 $\frac{1}{n}$ (作为 $dx$)。<br>2. 凑 $\frac{i}{n}$ (作为 $x$)。<br>3. 确定积分上下限（通常是 $0$ 到 $1$，若凑成 $\frac{2i}{n}$ 则是 $0$ 到 $2$）。</small>	396数学::03_数列极限
<div class="front-text">【定理】间断点的分类</div><br>第一类间断点和第二类间断点分别包含哪几种？判定标准是什么？	<b>第一类间断点（左右极限均存在）：</b><div class="latex-box box-purple"><ul><li><b>可去间断点：</b>$\lim f(x)$ 存在，但不等于 $f(x_0)$。</li><li><b>跳跃间断点：</b>左右极限存在但不相等。</li></ul></div><b>第二类间断点（左右极限至少有一个不存在）：</b><div class="latex-box box-purple"><ul><li><b>无穷间断点：</b>极限为 $\infty$（如 $1/x$ 在 0 处）。</li><li><b>振荡间断点：</b>极限振荡不存在（如 $\sin(1/x)$ 在 0 处）。</li></ul></div>	396数学::04_连续与渐近线
<div class="front-text">【公式】渐近线的求解公式</div><br>垂直、水平、斜渐近线的求解条件分别是什么？	<b>1. 垂直渐近线 $x=x_0$：</b><div class="latex-box box-green">\[ \lim_{x\to x_0}f(x)=\infty \]</div><small>（找分母为0的点）</small><br><br><b>2. 水平渐近线 $y=b$：</b><div class="latex-box box-green">\[ \lim_{x\to \infty}f(x)=b \]</div><br><b>3. 斜渐近线 $y=kx+b$：</b><div class="latex-box box-green">\[ k = \lim_{x\to \infty} \frac{f(x)}{x}, \quad b = \lim_{x\to \infty} [f(x)-kx] \]</div><br><small><b>【优先级】</b>先找垂直，再找水平。<b>若有水平，则同一侧必无斜渐近线。</b></small>	396数学::04_连续与渐近线
<div class="front-text">【定理】绝对值函数的可导性</div><br>已知 $g(x)$ 在 $x=x_0$ 处连续，$F(x) = g(x)|x-x_0|$ 在 $x_0$ 处可导的充要条件是什么？	<div class="latex-box box-purple">\[ g(x_0) = 0 \]</div><br><small><b>【几何直观】</b><br>$|x-x_0|$ 在 $x_0$ 处是尖点（不可导）。要让乘积 $g(x)|x-x_0|$ 变得光滑（可导），必须用 $g(x_0)=0$ 把这个尖角“压平”。</small>	396数学::05_导数定义
<div class="front-text">【公式】切线与法线方程</div><br>曲线 $y=f(x)$ 在点 $(x_0, f(x_0))$ 处的切线和法线方程是什么？	<b>切线方程：</b><div class="latex-box box-green">\[ y - f(x_0) = f'(x_0)(x - x_0) \]</div><br><b>法线方程：</b><div class="latex-box box-green">\[ y - f(x_0) = -\frac{1}{f'(x_0)}(x - x_0) \]</div><br><small><b>【注意】</b><br>法线斜率是切线斜率的<b>负倒数</b>。若切线水平（$f'=0$），法线为垂直线 $x=x_0$。</small>	396数学::05_导数定义
<div class="front-text">【记忆】基础求导公式 (反三角函数)</div><br>写出 $\arcsin x, \arccos x, \arctan x$ 的导数。	<div class="latex-box box-green">\[ (\arcsin x)' = \frac{1}{\sqrt{1-x^2}} \]<br>\[ (\arccos x)' = -\frac{1}{\sqrt{1-x^2}} \]<br>\[ (\arctan x)' = \frac{1}{1+x^2} \]</div><br><small><b>【记忆点】</b><br>1. Co-函数（$\arccos$）求导必带负号。<br>2. $\arcsin$ 有根号，$\arctan$ 无根号。</small>	396数学::06_导数计算
<div class="front-text">【记忆】基础求导公式 (三角函数正割余割)</div><br>写出 $\sec x$ 和 $\csc x$ 的导数。	<div class="latex-box box-green">\[ (\sec x)' = \sec x \tan x \]<br>\[ (\csc x)' = -\csc x \cot x \]</div><br><small><b>【记忆口诀】</b><br>“正割是正割坦（摊）” ($\sec \tan$)<br>“余割是负余割口坦（苦摊）” ($-\csc \cot$)</small>	396数学::06_导数计算
<div class="front-text">【公式】反函数求导法则</div><br>设 $x=\varphi(y)$ 是 $y=f(x)$ 的反函数且 $f'(x) \neq 0$，求其一阶和二阶导数 $\frac{dx}{dy}$、$\frac{d^2x}{dy^2}$。	<div class="latex-box box-green">\[ \frac{dx}{dy} = \frac{1}{f'(x)} \]<br>\[ \frac{d^2x}{dy^2} = -\frac{f''(x)}{[f'(x)]^3} \]</div><br><small><b>【避坑】</b><br>二阶导公式中，分母是<b>三次方</b>，且前面有<b>负号</b>。推导逻辑：$\frac{d}{dy}(\frac{1}{f'}) = \frac{d}{dx}(\frac{1}{f'}) \cdot \frac{dx}{dy}$。</small>	396数学::06_导数计算
<div class="front-text">【公式】变上限积分函数求导</div><br>写出函数 $F(x) = \int_{\varphi(x)}^{\psi(x)} f(t) dt$ 的求导公式。	<div class="latex-box box-green">\[ F'(x) = f[\psi(x)]\cdot\psi'(x) - f[\varphi(x)]\cdot\varphi'(x) \]</div><br><small><b>【口诀】</b><br>代入上式乘上导，减去代入下式乘下导。</small>	396数学::06_导数计算
<div class="front-text">【公式】参数方程求导法则</div><br>设 $\begin{cases} x = \varphi(t) \\ y = \psi(t) \end{cases}$，求一阶导 $\frac{dy}{dx}$ 和二阶导 $\frac{d^2y}{dx^2}$。	<div class="latex-box box-green">\[ \frac{dy}{dx} = \frac{\psi'(t)}{\varphi'(t)} \]<br>\[ \frac{d^2y}{dx^2} = \frac{\frac{d}{dt}\left(\frac{dy}{dx}\right)}{\varphi'(t)} \]</div><br><small><b>【致命易错点】</b><br>求二阶导时，是对 $t$ 求导后，<b>必须再除以 $x'(t)$</b>（即乘以 $\frac{dt}{dx}$）。千万不要漏除这一项！</small>	396数学::06_导数计算
<div class="front-text">【定理】极值的第一充分条件</div><br>设函数 $f(x)$ 在点 $x_0$ 处连续，在去心邻域内可导。如何利用一阶导数符号判断极值？	在 $x_0$ 左右去心邻域内：<br>1. 左正右负 ($+ \to -$) $\Rightarrow$ <div class="latex-box box-purple">\[ f(x_0) \text{ 为极大值 (山峰)} \]</div><br>2. 左负右正 ($- \to +$) $\Rightarrow$ <div class="latex-box box-purple">\[ f(x_0) \text{ 为极小值 (山谷)} \]</div><br>3. 左右同号 $\Rightarrow$ 不是极值。	396数学::07_导数应用
<div class="front-text">【定理】极值的第二充分条件</div><br>设函数 $f(x)$ 在点 $x_0$ 处有二阶导数，且驻点处 $f'(x_0)=0$。如何用二阶导数判断极值？	当 $f''(x_0) < 0$ (开口向下) 时：<div class="latex-box box-purple">\[ f(x_0) \text{ 为极大值} \]</div><br>当 $f''(x_0) > 0$ (开口向上) 时：<div class="latex-box box-purple">\[ f(x_0) \text{ 为极小值} \]</div><br><small><b>【注】</b>当 $f''(x_0)=0$ 时，此法失效，必须退回到第一充分条件（看一阶导变号情况）。</small>	396数学::07_导数应用
<div class="front-text">【定理】拐点的判别</div><br>如何寻找曲线拐点的可疑点？如何用第一和第二充分条件判别？	<b>可疑点：</b> $f''(x_0) = 0$ 或 $f''(x_0)$ 不存在。<br><br><b>判别法：</b><br>1. <b>变号法：</b> 若 $f''(x)$ 在 $x_0$ 左右变号，则是拐点。<br>2. <b>高阶导数法：</b> 若 $f''(x_0) = 0$ 且 $f'''(x_0) \neq 0$，则是拐点。	396数学::07_导数应用
<div class="front-text">【公式】曲率计算公式</div><br>曲线 $y=f(x)$ 在某一点的曲率 $K$ 的计算公式是什么？	<div class="latex-box box-green">\[ K = \frac{|y''|}{[1+(y')^2]^{\frac{3}{2}}} \]</div><br><small><b>【几何直观】</b><br>曲率 $K$ 越大，曲线越弯曲。直线曲率为 0，半径为 $R$ 的圆曲率为 $1/R$。</small>	396数学::07_导数应用
<div class="front-text">【定理】变上限积分函数的奇偶性与周期性</div><br>若 $f(x)$ 连续，对于 $F(x) = \int_0^x f(t) dt$ 的奇偶性、周期性，存在什么规律？	<b>1. 奇偶性提升：</b><div class="latex-box box-purple">\[ f \text{ 奇} \Rightarrow F \text{ 偶} \]<br>\[ f \text{ 偶} \Rightarrow F \text{ 奇} \]</div><b>2. 周期性：</b><div class="latex-box box-purple">\[ f \text{ 周期且} \int_0^T f(t)dt=0 \Rightarrow F \text{ 周期} \]</div><small>（即：在一个周期内积分为0，原函数才也是周期函数）</small>	396数学::08_不定积分
<div class="front-text">【定理】变上限积分的连续性与可导性</div><br>对于 $F(x) = \int_c^x f(t) dt$，若 $f(x)$ 在 $x=x_0$ 处分别有：连续、可去间断点、跳跃间断点，$F(x)$ 的性态如何？	<div class="latex-box box-purple"><ul><li>$f(x)$ 连续 $\Rightarrow F(x)$ <b>可导</b> ($F'=f$)。</li><li>$f(x)$ 可去 $\Rightarrow F(x)$ <b>连续且可导</b> (平滑连接)。</li><li>$f(x)$ 跳跃 $\Rightarrow F(x)$ <b>连续但不可导</b> (出现尖点)。</li></ul></div><small><b>【结论】</b>积分能使函数“光滑度”提升一级。</small>	396数学::08_不定积分
<div class="front-text">【记忆】不定积分基本公式 (含有根号的对数式)</div><br>写出 $\int \frac{dx}{\sqrt{x^2+a^2}}$ 与 $\int \frac{dx}{\sqrt{x^2-a^2}}$ 的结果 ($a>0$)。	<div class="latex-box box-green">\[ \int \frac{dx}{\sqrt{x^2+a^2}} = \ln(x+\sqrt{x^2+a^2}) + C \]<br>\[ \int \frac{dx}{\sqrt{x^2-a^2}} = \ln|x+\sqrt{x^2-a^2}| + C \]</div><br><small><b>【记忆口诀】</b><br>“Give me a high five!” (high $\to$ hyperbola $\to$ $\ln$)<br>只要分母是 $x^2 \pm a^2$ 开根号，结果都是对数形式。</small>	396数学::08_不定积分
<div class="front-text">【记忆】不定积分基本公式 (无根号分式)</div><br>写出 $\int \frac{dx}{a^2+x^2}$ 与 $\int \frac{dx}{x^2-a^2}$ 的结果 ($a>0$)。	<div class="latex-box box-green">\[ \int \frac{dx}{a^2+x^2} = \frac{1}{a}\arctan\frac{x}{a} + C \]<br>\[ \int \frac{dx}{x^2-a^2} = \frac{1}{2a}\ln\left|\frac{x-a}{x+a}\right| + C \]</div><br><small><b>【注意】</b><br>1. $\arctan$ 前面有系数 $1/a$。<br>2. $\ln$ 前面有系数 $1/2a$，且分子是 $x-a$ (小减大)。</small>	396数学::08_不定积分
<div class="front-text">【定理】定积分比较定理 (常用五星级不等式)</div><br>当 $x>0$ 时，$e^x-1, x, \ln(1+x)$ 的大小关系？当 $0 < x < \frac{\pi}{2}$ 时，$\tan x, x, \sin x$ 的大小关系？	当 $x > 0$：<div class="latex-box box-green">\[ e^x - 1 > x > \ln(1+x) \]</div><br>当 $0 < x < \frac{\pi}{2}$：<div class="latex-box box-green">\[ \tan x > x > \sin x \]</div><br><small><b>【图像记忆】</b><br>第一象限内，$\tan x$ 飞在最上面，$y=x$ 在中间，$\sin x$ 被压在最下面。</small>	396数学::09_定积分定义与性质
<div class="front-text">【公式】定积分的去 $x$ 公式</div><br>$\int_0^\pi x f(\sin x) dx$ 等于什么？	<div class="latex-box box-green">\[ \int_0^\pi x f(\sin x) dx = \frac{\pi}{2} \int_0^\pi f(\sin x) dx \]</div><br><small><b>【条件】</b><br>必须是 $0$ 到 $\pi$ 的区间，且函数部分必须是 $\sin x$ 的函数（关于 $\pi/2$ 对称）。此公式能直接把 $x$ 变成常数 $\pi/2$ 提出来。</small>	396数学::09_定积分计算
<div class="front-text">【公式】点火公式 (Wallis公式)</div><br>计算 $\int_0^{\pi/2} \sin^n x \, dx$ 或 $\int_0^{\pi/2} \cos^n x \, dx$ 时，分为哪两种情况？	<b>1. $n$ 为正偶数：</b><div class="latex-box box-green">\[ \frac{n-1}{n}\cdot\frac{n-3}{n-2}\cdots\frac{1}{2}\cdot\frac{\pi}{2} \]</div><small>(最后乘 $\frac{\pi}{2}$)</small><br><br><b>2. $n$ 为大于1的奇数：</b><div class="latex-box box-green">\[ \frac{n-1}{n}\cdot\frac{n-3}{n-2}\cdots\frac{2}{3}\cdot 1 \]</div><small>(最后乘 $1$)</small>	396数学::09_定积分计算
<div class="front-text">【定理】反常积分 p 积分的敛散性</div><br>无穷区间 $\int_a^{+\infty} \frac{1}{x^p} dx$ 和 瑕积分 $\int_0^a \frac{1}{x^p} dx$ ($a>0$) 分别在什么时候收敛？	<b>1. 无穷区间 (尾巴)：</b><div class="latex-box box-purple">\[ p > 1 \text{ 时收敛 (大1收)} \]</div><b>2. 瑕积分 (头部 $0$ 点)：</b><div class="latex-box box-purple">\[ p < 1 \text{ 时收敛 (小1收)} \]</div><small><b>【记忆】</b>大的管无穷（$p>1$），小的管零点（$p<1$）。</small>	396数学::09_定积分计算
<div class="front-text">【公式】直角坐标与极坐标图形面积</div><br>写出直角坐标域 $y_1(x) \le y \le y_2(x)$ 和极坐标域 $0 \le \theta \le \alpha, 0 \le r \le r(\theta)$ 的面积积分公式。	直角坐标系：<div class="latex-box box-green">\[ S = \int_a^b [y_{\text{上}}(x) - y_{\text{下}}(x)] dx \]</div><br>极坐标系：<div class="latex-box box-green">\[ S = \frac{1}{2} \int_\alpha^\beta r^2(\theta) d\theta \]</div><br><small><b>【易忘点】</b><br>极坐标公式里有系数 <b>$1/2$</b>，且是 $r$ 的<b>平方</b>。</small>	396数学::10_定积分应用
<div class="front-text">【公式】旋转体体积公式 (绕x轴与y轴)</div><br>平面图形由 $y=y(x)$ ($y \ge 0$)、$x=a, x=b$ 及 $x$ 轴围成。求其绕 $x$ 轴和 $y$ 轴旋转一周的体积。	绕 $x$ 轴 (切片法)：<div class="latex-box box-green">\[ V_x = \pi \int_a^b y^2(x) dx \]</div><br>绕 $y$ 轴 (柱壳法)：<div class="latex-box box-green">\[ V_y = 2\pi \int_a^b x y(x) dx \]</div><br><small><b>【口诀】</b><br>绕 $x$ 是 $\pi y^2 dx$；绕 $y$ 是 $2\pi x y dx$ (注意系数 $2$ 和 $\pi$ 的区别)。</small>	396数学::10_定积分应用
<div class="front-text">【公式】弧长计算公式 (三种坐标系)</div><br>分别写出直角坐标 $y=y(x)$、极坐标 $r=r(\theta)$、参数方程的弧长积分公式。	直角坐标：<div class="latex-box box-green">\[ s = \int_a^b \sqrt{1 + [y'(x)]^2} dx \]</div><br>极坐标：<div class="latex-box box-green">\[ s = \int_\alpha^\beta \sqrt{r^2(\theta) + [r'(\theta)]^2} d\theta \]</div><br>参数方程：<div class="latex-box box-green">\[ s = \int_{\alpha}^{\beta} \sqrt{[x'(t)]^2 + [y'(t)]^2} dt \]</div>	396数学::10_定积分应用
<div class="front-text">【公式】旋转体侧面积公式</div><br>曲线 $y=y(x)$ $(a \le x \le b)$ 绕 $x$ 轴旋转一周产生的旋转曲面面积计算公式？	<div class="latex-box box-green">\[ S = 2\pi \int_a^b |y(x)| \cdot ds \]</div>展开即：<div class="latex-box box-green">\[ S = 2\pi \int_a^b |y(x)|\sqrt{1+[y'(x)]^2} dx \]</div><br><small><b>【理解】</b><br>侧面积 = 周长 ($2\pi y$) $\times$ 弧长微分 ($ds$)。</small>	396数学::10_定积分应用
<div class="front-text">【定义】二元函数连续、偏导、可微关系</div><br>多元函数中，“可微”、“偏导数存在”、“连续”之间的相互推导关系是怎样的？	<div class="latex-box box-purple">\[ \text{可微} \Rightarrow \text{连续} \]<br>\[ \text{可微} \Rightarrow \text{偏导数存在} \]</div><br><b>【避坑】</b><br>1. 偏导数存在 $\nRightarrow$ 连续（可能有漏洞）。<br>2. 连续 $\nRightarrow$ 偏导数存在。<br>3. 偏导数连续 $\Rightarrow$ 可微（充分条件）。	396数学::11_多元微分概念
<div class="front-text">【公式】全微分与偏导反问题</div><br>已知全微分 $df = P(x, y)dx + Q(x, y)dy$，其中的未知参数利用什么条件求解（搭桥法）？	利用混合偏导数相等：<div class="latex-box box-green">\[ \frac{\partial P}{\partial y} = \frac{\partial Q}{\partial x} \]</div><br><small><b>【方法】</b><br>若求原函数 $f(x,y)$，可先对 $x$ 积分 $\int P dx$，加上 $\varphi(y)$，再对 $y$ 求导确定 $\varphi(y)$。</small>	396数学::12_多元微分计算
<div class="front-text">【定理】隐函数存在定理</div><br>对于三元方程 $F(x,y,z)=0$，可以确定隐函数 $z=z(x,y)$ 的条件是什么？偏导数公式是什么？	存在条件：<div class="latex-box box-purple">\[ F'_z \neq 0 \]</div><br>偏导公式：<div class="latex-box box-green">\[ \frac{\partial z}{\partial x} = -\frac{F'_x}{F'_z}, \quad \frac{\partial z}{\partial y} = -\frac{F'_y}{F'_z} \]</div><br><small><b>【记忆】</b><br>公式里有个<b>负号</b>！分子是 $x$ 的偏导，分母是 $z$ 的偏导。</small>	396数学::12_多元微分计算
<div class="front-text">【定理】多元函数无条件极值充分条件</div><br>设 $(x_0, y_0)$ 为驻点，记 $A=f_{xx}''$, $B=f_{xy}''$, $C=f_{yy}''$。如何根据它们判断二元极值？	令判定式 $\Delta = B^2 - AC$：<br><br>1. 若 $AC - B^2 > 0$ (即 $B^2 - AC < 0$)：<div class="latex-box box-purple">\[ A<0 \text{ 极大值}, \quad A>0 \text{ 极小值} \]</div>2. 若 $AC - B^2 < 0$：<div class="latex-box">\[ \text{不是极值 (鞍点)} \]</div><br><small><b>【注】</b>有些教材用 $AC-B^2$ 判定，请注意符号方向。记忆：行列式 $\begin{vmatrix} A & B \\ B & C \end{vmatrix} > 0$ 才有极值。</small>	396数学::12_多元函数应用
<div class="front-text">【方法】拉格朗日乘数法</div><br>求函数 $z=f(x,y)$ 在约束条件 $\varphi(x,y)=0$ 下的极值点，需联立怎样的方程组？	构造 $L(x,y,\lambda) = f(x,y) + \lambda\varphi(x,y)$，求解：<div class="latex-box box-green">\[ \begin{cases} f'_x + \lambda\varphi'_x = 0 \\ f'_y + \lambda\varphi'_y = 0 \\ \varphi(x,y) = 0 \end{cases} \]</div>	396数学::12_多元函数应用
<div class="front-text">【公式】范德蒙行列式</div><br>写出 $n$ 阶范德蒙行列式 $D_n$ 的计算结果公式。	<div class="latex-box box-green">\[ D_n = \prod_{1 \le j < i \le n} (x_i - x_j) \]</div><br><small><b>【口诀】</b><br>“下角标大的 减去 下角标小的”，所有可能的组合连乘。</small>	396数学::13_行列式
<div class="front-text">【公式】拉普拉斯行列式 (分块矩阵)</div><br>写出主对角线分块矩阵 $\begin{vmatrix} A & O \\ C & B \end{vmatrix}$ 和副对角线分块矩阵 $\begin{vmatrix} O & A_{m\times m} \\ B_{n\times n} & C \end{vmatrix}$ 的展开公式。	主对角线块：<div class="latex-box box-green">\[ \begin{vmatrix} A & O \\ C & B \end{vmatrix} = |A||B| \]</div><br>副对角线块：<div class="latex-box box-green">\[ \begin{vmatrix} O & A \\ B & C \end{vmatrix} = (-1)^{mn} |A||B| \]</div><br><small><b>【易错点】</b><br>副对角线要乘符号因子 $(-1)^{mn}$，其中 $m, n$ 是 $A, B$ 的阶数。</small>	396数学::13_行列式
<div class="front-text">【公式】伴随矩阵万能公式及秩</div><br>写出伴随矩阵 $A^*$ 的基本恒等式（万能公式）及其秩 $r(A^*)$ 的分段结果。	万能公式：<div class="latex-box box-green">\[ AA^* = A^*A = |A|E \]</div><br>秩的公式：<div class="latex-box box-green">\[ r(A^*) = \begin{cases} n, & r(A) = n \\ 1, & r(A) = n - 1 \\ 0, & r(A) < n - 1 \end{cases} \]</div>	396数学::14_矩阵运算
<div class="front-text">【记忆】矩阵求逆、转置、伴随公式</div><br>写出乘积的转置 $(AB)^T$、伴随 $(AB)^*$ 和逆矩阵 $(AB)^{-1}$。	<div class="latex-box box-green">\[ (AB)^T = B^T A^T \]<br>\[ (AB)^* = B^* A^* \]<br>\[ (AB)^{-1} = B^{-1} A^{-1} \]</div><br><small><b>【规律】</b><br>“穿脱原则”：全部都要颠倒顺序。</small>	396数学::14_矩阵运算
<div class="front-text">【技巧】秩为 1 的矩阵性质</div><br>若矩阵 $A$ 满足 $r(A)=1$，则 $A$ 可以分解为什么形式？它的 n 次幂 $A^n$ 等于什么？	分解形式：<div class="latex-box box-green">\[ A = \alpha \beta^T \]</div><small>(列向量 $\times$ 行向量)</small><br><br>n 次幂公式：<div class="latex-box box-green">\[ A^n = [\text{tr}(A)]^{n-1} A \]</div><br><small><b>【特征值】</b><br>秩为1的矩阵，特征值为：迹 $\text{tr}(A)$ 和 $n-1$ 个 $0$。</small>	396数学::14_矩阵运算
<div class="front-text">【公式】矩阵秩的绝对不等式</div><br>写出 $r(A+B)$ 和 $r(AB)$ 所满足的不等式性质。	相加：<div class="latex-box box-green">\[ r(A+B) \le r(A) + r(B) \]</div><br>相乘（越乘越小）：<div class="latex-box box-green">\[ r(AB) \le \min\{r(A), r(B)\} \]</div><br>西尔维斯特不等式：<div class="latex-box box-green">\[ r(AB) \ge r(A) + r(B) - n \]</div>	396数学::15_初等变换与矩阵的秩
